Al,Al2O3,Si,Fe,Mg,Cu,Zn,Mn,Ni,Ca,Na,K,Ti,metal_recovery,alumina_recovery
68.2186814566789,25.971960993801307,4.43439167964553,1.0763152406831094,0.7354433697191238,0.5865922934002158,0.3925128658956588,0.4037289373746292,0.027935908574576424,0.9557332820015775,0.3280985181744359,0.2787618467660945,0.1967208848233927,51.95028510949184,24.669943052257544
51.81716165354331,28.864619675395872,1.2552690244167013,1.258683640789615,2.079160997805162,0.46694825704695553,0.20953668565844075,0.4868141109777065,0.13503695698510768,1.5789286444401476,0.19597903088897567,0.1453490910808399,0.022703092078296343,35.08355057916941,26.08194290364252
67.34286467723452,39.187743310855254,2.3033014325526078,0.6186435884488164,1.6738895281895199,0.15420924749635712,0.10846467740096224,0.26406721680167017,0.04176730886712377,1.3726465898967697,0.37786393915424804,0.25147667685677283,0.21307687958065225,48.73281202524658,32.25382141438854
69.14293072490406,24.686959475754364,2.1533124157209764,1.0554937055649656,0.8493812090232745,0.15994951136130958,0.053313021387952485,0.40411596987596227,0.10307911992288449,1.4398142193900367,0.6355467732664759,0.1430855749061186,0.17493494682633917,48.16055067324669,28.455845994883678
65.05208885371415,26.777405153578314,3.2609444259247553,1.1709984003824359,2.086795800001477,0.35446867036189766,0.3016432223354361,0.1867775441281755,0.014314496839511515,0.9297630395414884,0.21093850461464692,0.12847330668014448,0.25748689124776813,43.076356884125,22.855964561699057
53.441516760659894,22.33984394416709,3.6476660589075802,0.8798450132777896,2.459745522766034,0.4153724471800631,0.23287408764803175,0.4163091730997156,0.033376208787078546,0.1431529389543349,0.11753589558173132,0.21948421167297058,0.14394439677290233,36.54093618639213,19.582812511657792
49.56936308139505,32.4080093769434,2.784625102296123,0.6334297165350754,1.2537802228696913,0.3966554262153886,0.21281567474902569,0.08944246369224546,0.026520826296872142,1.9276055626440776,0.7314355180307053,0.21291506880511737,0.08710228882326067,38.09443791772496,24.89665015221967
66.50670567476988,26.234037553594717,2.088966247380636,0.234947347014899,2.756505991359604,0.30067695940848604,0.14106351415785365,0.18768048086779365,0.09109073965186543,0.4358682875845402,0.6924607130692817,0.22997066365221092,0.21864425722577166,47.184346863995664,26.354347286197708
62.52293906738207,31.2461650388705,1.3377772845595564,0.6821303630388534,0.6040354346547312,0.3216949505844854,0.1984375455497534,0.11503588498972112,0.024476415481157227,1.216524687137653,0.17794472640266457,0.2782848343292712,0.17850773051311453,41.488524931400434,30.21882296357113
45.68411613089093,38.96398033103613,2.929213747771601,1.1958293181504007,0.7068249998060965,0.31766208196098816,0.2708181474595344,0.4720219047387423,0.09004192733265054,0.9996298620082121,0.2502317473189202,0.10615500922934012,0.16099499671674597,31.00086686704638,27.927221638499567
